Character,Count,Percentage
<space>,291851396,19.16%
_,94444793,6.20%
e,91171885,5.99%
t,67970418,4.46%
i,59830549,3.93%
r,56935978,3.74%
s,55440863,3.64%
a,52500966,3.45%
n,49990376,3.28%
c,48734932,3.20%
d,44996968,2.95%
<newline>,41044262,2.70%
<tab>,40564685,2.66%
o,39461086,2.59%
0,37615692,2.47%
l,35628449,2.34%
p,34183148,2.24%
f,33559681,2.20%
m,29819898,1.96%
u,26130255,1.72%
x,18546781,1.22%
g,18389857,1.21%
h,16604039,1.09%
b,16143060,1.06%
",",15657447,1.03%
v,14344903,0.94%
1,11631251,0.76%
;,11069168,0.73%
),10759735,0.71%
(,10748977,0.71%
*,10221387,0.67%
k,9918611,0.65%
-,9538653,0.63%
2,9317611,0.61%
=,8107173,0.53%
w,7702660,0.51%
y,7543101,0.50%
#,6939139,0.46%
"""",6127170,0.40%
/,5991741,0.39%
>,5844915,0.38%
3,5732775,0.38%
.,5288359,0.35%
4,4823036,0.32%
8,3941689,0.26%
q,3565957,0.23%
6,3446491,0.23%
5,3329958,0.22%
{,3259383,0.21%
},3259222,0.21%
:,2744250,0.18%
7,2347000,0.15%
&,2302531,0.15%
z,2109858,0.14%
9,2020859,0.13%
<,1923187,0.13%
[,1500894,0.10%
],1499452,0.10%
\,1118571,0.07%
+,1006511,0.07%
|,887872,0.06%
%,747190,0.05%
j,688122,0.05%
!,636586,0.04%
@,487570,0.03%
',389643,0.03%
$,285543,0.02%
`,218616,0.01%
~,144740,0.01%
?,114130,0.01%
^,51593,0.00%
<formfeed>,148,0.00%
<vert_tab>,1,0.00%
