Character,Count,Percentage
<space>,9690951,8.50%
e,9437663,8.28%
t,6864353,6.02%
s,5500806,4.83%
i,5399584,4.74%
o,5340861,4.69%
<tab>,5284052,4.64%
r,5187425,4.55%
n,5151436,4.52%
a,4623349,4.06%
c,3408928,2.99%
l,3312141,2.91%
d,3095031,2.72%
<newline>,2703302,2.37%
.,2640869,2.32%
u,2355792,2.07%
m,2265190,1.99%
p,2263072,1.99%
-,1844764,1.62%
"""",1842073,1.62%
/,1643089,1.44%
f,1517956,1.33%
g,1476975,1.30%
h,1463314,1.28%
:,1306744,1.15%
",",1235745,1.08%
b,1075796,0.94%
),1033669,0.91%
(,1033071,0.91%
v,982689,0.86%
y,899873,0.79%
;,720514,0.63%
$,711004,0.62%
w,707964,0.62%
k,698263,0.61%
',679980,0.60%
x,679431,0.60%
},612459,0.54%
{,612408,0.54%
_,608352,0.53%
0,527493,0.46%
=,501615,0.44%
\,440400,0.39%
1,345502,0.30%
j,298541,0.26%
|,294922,0.26%
2,272459,0.24%
4,251092,0.22%
*,227367,0.20%
#,214102,0.19%
3,209163,0.18%
[,207012,0.18%
],204595,0.18%
5,201497,0.18%
9,193039,0.17%
?,173418,0.15%
8,169402,0.15%
q,166676,0.15%
>,165550,0.15%
6,160662,0.14%
7,138508,0.12%
z,135204,0.12%
+,115945,0.10%
<,95723,0.08%
&,81150,0.07%
!,80773,0.07%
@,72873,0.06%
`,69990,0.06%
^,29905,0.03%
<return>,16230,0.01%
%,10164,0.01%
~,2226,0.00%
